sample,node,distance,label
1088,node1,29.92,1
1089,node1,30.43,1
1090,node1,29.9,1
1091,node1,38.1,1
1092,node1,36.24,1
1093,node1,40.21,0
1094,node1,36.23,1
1095,node1,36.7,1
1096,node1,36.23,1
1097,node1,28.2,1
1098,node1,28.22,1
1099,node1,27.32,1
1100,node1,29.9,1
1101,node1,29.92,1
1102,node1,39.27,1
1103,node1,36.69,1
1104,node1,36.7,1
1105,node1,37.16,1
1106,node1,36.7,1
1107,node1,37.64,1
1108,node1,37.18,1
1109,node1,39.73,1
1110,node1,40.66,0
1111,node1,39.73,1
1112,node1,37.62,1
1113,node1,37.4,1
1114,node1,37.16,1
1115,node1,50.47,0
1116,node1,39.27,1
1117,node1,40.19,0
1118,node1,40.65,0
1119,node1,18.75,1
1120,node1,11.44,0
1121,node1,11.08,0
1122,node1,10.76,0
1123,node1,11.42,0
1124,node1,13.11,0
1125,node1,11.78,0
1126,node1,12.44,0
1127,node1,16.8,1
1128,node1,15.49,1
1129,node1,14.47,0
1130,node1,14.47,0
1131,node1,14.13,0
1132,node1,13.79,0
1133,node1,13.45,0
1134,node1,2.31,0
1135,node1,16.13,1
1136,node1,8.38,0
1137,node1,9.74,0
1138,node1,9.4,0
1139,node1,34.9,1
1140,node1,48.0,0
1141,node1,45.02,0
1142,node1,29.63,1
1143,node1,57.82,0
1144,node1,37.38,1
1145,node1,57.97,0
1146,node1,38.54,1
1147,node1,46.26,0
1148,node1,44.23,0
1149,node1,45.05,0
1150,node1,44.03,0
1151,node1,42.77,0
1152,node1,43.23,0
1153,node1,41.14,0
1154,node1,285.02,0
1155,node1,284.58,0
1156,node1,65.84,0
1157,node1,70.11,0
1158,node1,71.35,0
1159,node1,77.15,0
1160,node1,6.14,0
1161,node1,4.23,0
1162,node1,38.1,1
1163,node1,27.62,1
1164,node1,28.49,1
1165,node1,19.4,1
1166,node1,24.38,1
1167,node1,21.01,1
1168,node1,85.37,0
1169,node1,21.33,1
1170,node1,22.3,1
1171,node1,29.89,1
1172,node1,25.53,1
1173,node1,22.9,1
1174,node1,19.69,1
1175,node1,24.67,1
1176,node1,20.67,1
1177,node1,30.14,1
1178,node1,23.48,1
1179,node1,19.04,1
1180,node1,22.86,1
1181,node1,23.77,1
1182,node1,22.0,1
1183,node1,25.57,1
1184,node1,26.76,1
1185,node1,21.67,1
1186,node1,21.03,1
1187,node1,21.03,1
1188,node1,30.45,1
1189,node1,26.16,1
1190,node1,24.41,1
1191,node1,27.93,1
1192,node1,23.22,1
1193,node1,24.41,1
1194,node1,22.3,1
1195,node1,24.7,1
1196,node1,21.67,1
1197,node1,25.58,1
1198,node1,24.4,1
1199,node1,23.24,1
1200,node1,21.35,1
1201,node1,26.45,1
1202,node1,20.71,1
1203,node1,25.25,1
1204,node1,25.25,1
1205,node1,17.1,1
1206,node1,18.72,1
1207,node1,17.42,1
1208,node1,17.42,1
1209,node1,16.78,1
1210,node1,16.78,1
1211,node1,16.47,1
1212,node1,17.1,1
1213,node1,16.78,1
1214,node1,16.78,1
1215,node1,16.78,1
1216,node1,17.42,1
1217,node1,17.75,1
1218,node1,16.46,1
1219,node1,17.1,1
1220,node1,20.01,1
1221,node1,16.78,1
1222,node1,17.42,1
1223,node1,16.78,1
1224,node1,19.69,1
1225,node1,18.07,1
1226,node1,22.59,1
1227,node1,19.06,1
1228,node1,20.33,1
1229,node1,19.38,1
1230,node1,18.72,1
1231,node1,16.46,1
1232,node1,15.45,1
1233,node1,16.13,1
1234,node1,16.13,1
1235,node1,16.78,1
1236,node1,17.42,1
1237,node1,16.78,1
1238,node1,18.39,1
1239,node1,19.04,1
1240,node1,16.78,1
1241,node1,17.75,1
1242,node1,20.33,1
1243,node1,18.39,1
1244,node1,17.75,1
